name,name_en,dynasty,location,category,summary,cover_image,height,bay_count,dougong_types,earthquake_resistance,material,preservation_status
佛光寺东大殿,Foguang Temple East Hall,唐代,山西五台,木结构,中国现存最古老的木构殿堂，梁思成称“中国第一国宝”,/image/1/1.1.jpg,12.3,七间,七铺作,经历多次地震,木,完好
应县木塔,Yingxian Wooden Pagoda,辽代,山西应县,木结构,世界最高木塔，使用54种斗拱，经历40余次地震,/image/2/2.1.jpg,67.31,五间,54种,经历40余次地震,木,完好
赵州桥,Zhaozhou Bridge,隋代,河北赵县,砖石,世界现存最古老的敞肩石拱桥，跨度37.02米,/image/3/3.1.jpg,7.23,待考究,待考究,经历12次较大地震,石,完好
苏州拙政园,Suzhou Humble Administrator's Garden,明代,江苏苏州,园林,中国四大名园之一，以水为中心，各式建筑缘水而筑,/image/4/4.1.jpg,无,待考究,待考究,待考究,木、石、砖,完好
福建土楼,Fujian Tulou,明清,福建,砖石,大型夯土民居，如承启楼直径73米，四层四环,/image/5/5.1.jpg,17.95,待考究,待考究,经历多次地震，如2018年花莲6.5级地震时毫发无损,夯土、木、石,完好
北京故宫,The Palace Museum,明清,北京,木结构,世界最大最完整的古代木结构宫殿建筑群,/image/6/6.1.jpg,29.5,九间,单翘重昂七踩斗拱等,经历200多次地震,木、石、琉璃瓦,完好
拉萨布达拉宫,Potala Palace,明清,西藏拉萨,砖石,藏式古建筑巅峰，主楼红宫高达115.703米,/image/7/7.1.jpg,115.703,待考究,待考究,墙体灌注铁汁，抗震能力强,石、木,完好
北京天坛,Temple of Heaven,明清,北京,砖石,皇家祭天场所，祈年殿为三重檐攒尖顶,/image/8/8.1.jpg,38.1,待考究,单翘单昂五踩,待考究,木、石、琉璃瓦,完好
西安大雁塔,Giant Wild Goose Pagoda,唐代,陕西西安,砖石,玄奘藏经之地，砖仿木结构的四方形楼阁式砖塔,/image/9/9.1.jpg,64.517,待考究,仿木斗拱,经历38次地震,砖,完好
山西晋祠圣母殿,Jinci Temple Notre Dame Hall,宋代,山西太原,木结构,宋代建筑典范，面阔七间，进深六间，采用减柱法,/image/10/10.1.jpg,19,七间,上檐六铺作，下檐五铺作,待考究,木,完好
曲阜孔庙,Qufu Confucian Temple,明清,山东曲阜,木结构,祭祀孔子的礼制庙宇，大成殿面阔九间,/image/11/11.1.jpg,33,九间,十三踩斗拱,经历8.5级郯城大地震,木、石,完好
承德避暑山庄,Chengde Mountain Resort,清代,河北承德,园林,中国现存最大的清代皇家宫苑,/image/12/12.1.jpg,无,七间,待考究,待考究,木、石、砖,完好
苏州留园,Suzhou Lingering Garden,清代,江苏苏州,园林,四大名园之一，以建筑布置精巧、奇石众多而知名,/image/13/13.1.jpg,无,五间,待考究,待考究,木、石、砖,完好
山西恒山悬空寺,Xuankong Temple,北魏,山西浑源,砖石,悬挂于悬崖峭壁间的儒释道三教合一寺庙,/image/14/14.1.jpg,58,五间,三踩、五踩斗拱,待考究,木、石,完好
南京明孝陵,Ming Xiaoling Mausoleum,明代,江苏南京,砖石,明清皇陵之首，现存明楼为重檐黄瓦大屋顶,/image/15/15.1.jpg,无,七间,待考究,待考究,石、砖,部分修复
山西芮城永乐宫,Yongle Palace,元代,山西芮城,木结构,元代道教宫观，三清殿面阔七间，斗拱为六铺作单杪双下昂,/image/16/16.1.jpg,无,七间,六铺作单杪双下昂,待考究,木,完好
云南丽江古城,Old Town of Lijiang,明清,云南丽江,砖石,世界文化遗产，以“三坊一照壁”的纳西族传统建筑为主,/image/17/17.1.jpg,无,待考究,一斗三升,经历7.0级地震，传统穿斗木构架抗震,木、砖、石,修复后完好
安徽宏村,Hongcun Village,明清,安徽黄山,砖石,世界文化遗产，徽派建筑，承志堂为大型民居,/image/18/18.1.jpg,10.2,七间,二跳五踩式,待考究,木、砖、石,完好
北京颐和园,Summer Palace,清代,北京,园林,皇家园林典范，佛香阁高41米，为全园标志性建筑,/image/19/19.1.jpg,41,八面均宽三间,大式建筑带斗拱,待考究,木、石、琉璃瓦,完好
山西五台山南禅寺大殿,Nanchan Temple Main Hall,唐代,山西五台,木结构,中国现存最早的木结构建筑，面阔三间,/image/20/20.1.jpg,无,三间,五铺作双杪偷心造,待考究,木,完好
广州陈家祠,Chen Clan Academy,清代,广东广州,砖石,岭南宗祠建筑，聚贤堂面阔五间，设斗拱,/image/21/21.1.jpg,无,五间,待考究,待考究,木、砖、石,完好
四川都江堰,Dujiangyan Irrigation System,战国,四川都江堰,砖石,世界现存最古老的水利工程，安澜索桥为主要附属建筑,/image/22/22.1.jpg,无,无,待考究,待考究,石、木,完好
甘肃敦煌莫高窟,Mogao Grottoes,北朝至元,甘肃敦煌,砖石,世界文化遗产，九层楼高45米，为标志性建筑,/image/23/23.1.jpg,45,待考究,待考究,待考究,砾石、木、泥,完好
北京明十三陵,Ming Tombs,明代,北京,砖石,明代皇家陵墓群，长陵祾恩殿面阔九间，全为金丝楠木,/image/24/24.1.jpg,25.1,九间,重翘重昂九踩斗拱,待考究,木、石、砖,部分完好
江苏扬州个园,Ge Garden,清代,江苏扬州,园林,以假山堆叠精巧闻名，住宅为明三暗五布局,/image/25/25.1.jpg,无,三间,待考究,待考究,木、砖、石,完好
